Date,Time,temp,humidity,pressure,light,rain,wind

2025-04-14,01:00,7.2,71.5,984.9,0.8,1020,0.0
2025-04-14,02:00,7.8,73.8,984.2,0.8,880,0.0
2025-04-14,03:00,7.1,74.5,984.1,0.8,500,0.0
2025-04-14,04:00,6.4,76.6,983.8,0.8,1020,0.0
2025-04-14,05:00,6.0,77.9,983.7,0.8,1020,0.0
2025-04-14,06:00,5.3,78.6,983.5,4.2,1020,0.0
2025-04-14,07:00,6.6,75.1,983.6,920.8,1020,0.0
2025-04-14,08:00,7.8,71.1,983.2,2532.5,1020,0.0
2025-04-14,09:00,10.1,64.9,983.0,6688.3,1020,0.0
2025-04-14,10:00,12.1,58.1,982.8,23371.7,1020,0.0
2025-04-14,11:00,14.6,51.6,982.5,33353.3,1020,0.0
2025-04-14,12:00,13.5,51.8,982.7,22250.0,1010,0.0
2025-04-14,13:00,16.8,49.1,982.5,54612.5,1020,0.0
2025-04-14,14:00,15.0,46.8,982.3,20991.7,1020,0.0
2025-04-14,15:00,19.4,43.8,981.9,46668.3,1020,0.0
2025-04-14,16:00,17.2,45.5,981.7,33395.8,1020,0.0
2025-04-14,17:00,20.4,40.6,981.7,11490.8,1020,0.0
2025-04-14,18:00,13.8,53.5,981.7,6465.0,1020,0.0
2025-04-14,19:00,12.8,54.1,982.0,5805.0,1020,0.0
2025-04-14,20:00,9.0,63.1,982.5,455.0,1020,0.0
2025-04-14,21:00,8.1,66.1,982.8,1.7,1020,0.0
2025-04-14,22:00,7.9,67.5,983.0,0.8,1020,0.0
2025-04-14,23:00,9.0,64.4,983.1,0.8,1020,0.0
2025-04-15,01:00,7.9,65.0,983.2,0.8,1020,0.0
2025-04-15,02:00,7.3,67.1,983.2,0.8,1020,0.0
2025-04-15,03:00,6.8,67.1,983.3,0.8,1020,0.0
2025-04-15,04:00,6.2,69.0,983.6,0.8,1020,0.0
2025-04-15,05:00,5.4,72.3,983.3,0.8,1020,0.0
2025-04-15,06:00,5.6,72.4,983.3,5.0,1020,0.0
2025-04-15,07:00,6.0,73.0,983.6,1052.5,1020,0.0
2025-04-15,08:00,6.1,73.4,984.1,6106.7,1020,0.0
2025-04-15,09:00,6.3,72.2,984.5,5384.2,1020,0.0
2025-04-15,10:00,8.4,65.7,984.8,18668.3,1020,0.0
2025-04-15,11:00,10.3,60.1,984.7,26182.5,1020,0.0
2025-04-15,12:00,11.7,55.0,984.7,20515.0,1020,0.0
2025-04-15,13:00,11.4,54.7,984.7,21095.8,1020,0.0
2025-04-15,14:00,11.5,53.6,984.8,13961.7,1020,0.0
2025-04-15,15:00,12.5,51.2,984.9,17968.3,1020,0.0
2025-04-15,16:00,12.1,50.3,984.6,10885.0,1020,0.0
2025-04-15,17:00,11.8,52.3,984.7,6966.7,1020,0.0
2025-04-15,18:00,8.2,68.6,985.0,4525.0,590,0.0
2025-04-15,19:00,9.1,64.1,984.9,1847.5,640,0.0
2025-04-15,20:00,8.4,69.2,985.1,288.3,600,0.0
2025-04-15,21:00,8.0,60.9,985.3,0.8,1020,0.0
2025-04-15,22:00,7.1,61.3,985.4,0.8,850,0.0
2025-04-15,23:00,6.2,68.6,985.9,0.8,580,0.0
2025-04-16,01:00,4.5,81.5,985.4,0.8,790,0.0
2025-04-16,02:00,4.3,84.1,984.7,0.8,450,0.0
2025-04-16,03:00,3.8,87.6,984.4,0.8,550,0.0
2025-04-16,04:00,3.5,89.1,984.1,0.8,700,0.0
2025-04-16,05:00,2.9,92.2,983.6,0.8,760,0.0
2025-04-16,06:00,1.9,93.3,982.9,1.7,870,0.0
2025-04-16,07:00,3.2,94.3,982.8,517.5,790,0.0
